section	model	plan	axis	accuracy	support	summary_score
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_GET_CONTENT	complex_2	1.0	10	-0.09999999999999998
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_GET_CONTENT	nonNR	0.9	10	-0.09999999999999998
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	complex_1	1.0	11	-0.09090909090909094
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	complex_2	1.0	6	-0.09090909090909094
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_CREATE_DOCUMENT	nonNR	0.9090909090909091	11	-0.09090909090909094
turn4_bucket_offenders	scale-llama3-4b-base.tsv	send_message	complex_1	0.06666666666666667	15	-0.05357142857142855
turn4_bucket_offenders	scale-llama3-4b-base.tsv	send_message	complex_2	0.42857142857142855	14	-0.05357142857142855
turn4_bucket_offenders	scale-llama3-4b-base.tsv	send_message	nonNR	0.375	16	-0.05357142857142855
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	complex_1	0.25	8	-0.0357142857142857
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	complex_2	0.2857142857142857	7	-0.0357142857142857
turn4_bucket_offenders	scale-llama3-4b-base.tsv	ACTION_SET_TIMER	nonNR	0.25	8	-0.0357142857142857
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_1	0.8	10	-0.4428571428571429
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	complex_2	0.35714285714285715	14	-0.4428571428571429
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_NAVIGATE_TO_LOCATION	nonNR	0.8571428571428571	14	-0.4428571428571429
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_GET_CONTENT	complex_1	0.625	8	-0.30000000000000004
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_GET_CONTENT	complex_2	0.9	10	-0.30000000000000004
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_GET_CONTENT	nonNR	0.6	10	-0.30000000000000004
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	complex_1	0.7142857142857143	7	-0.28571428571428575
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	complex_2	0.42857142857142855	7	-0.28571428571428575
turn4_bucket_offenders	scale-phi4-4b-base.tsv	ACTION_EDIT_ALARM	nonNR	0.8571428571428571	7	-0.28571428571428575
turn4_bucket_offenders	scale-phi4-4b-base.tsv	send_email	complex_1	0.42857142857142855	14	-0.2857142857142857
turn4_bucket_offenders	scale-phi4-4b-base.tsv	send_email	complex_2	0.5	14	-0.2857142857142857
turn4_bucket_offenders	scale-phi4-4b-base.tsv	send_email	nonNR	0.21428571428571427	14	-0.2857142857142857
